City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carrick-on-suir,52.3492,-7.4131,16.47,74,94,2.22,IE,05/07/2024
1,longyearbyen,78.2186,15.6401,0.91,75,75,1.54,SJ,05/07/2024
2,invercargill,-46.4,168.35,6.12,90,96,2.24,NZ,05/07/2024
3,waitangi,-43.9535,-176.5597,9.63,55,22,3.48,NZ,05/07/2024
4,albany,42.6001,-73.9662,19.82,50,0,0.89,US,05/07/2024
5,bertioga,-23.8544,-46.1386,32.0,51,0,1.03,BR,05/07/2024
6,fort-shevchenko,44.5086,50.263,13.19,94,100,9.43,KZ,05/07/2024
7,shimoda,34.6667,138.95,18.39,95,100,4.17,JP,05/07/2024
8,bilibino,68.0546,166.4372,-6.42,99,77,0.39,RU,05/07/2024
9,port-aux-francais,-49.35,70.2167,4.44,77,23,15.17,TF,05/07/2024
10,malango,-2.9627,119.9001,19.93,99,100,0.75,ID,05/07/2024
11,weno,7.4515,151.8468,25.97,94,100,0.0,FM,05/07/2024
12,yellowknife,62.456,-114.3525,10.23,72,75,3.09,CA,05/07/2024
13,adamstown,-25.066,-130.1015,21.6,78,63,5.16,PN,05/07/2024
14,puerto natales,-51.7236,-72.4875,-0.75,86,0,0.0,CL,05/07/2024
15,qaqortoq,60.7167,-46.0333,2.22,47,40,0.45,GL,05/07/2024
16,bethel,41.3712,-73.414,23.27,48,0,2.06,US,05/07/2024
17,paita,-5.0892,-81.1144,21.84,75,99,6.51,PE,05/07/2024
18,aras-asan,8.8908,126.3033,26.08,83,100,1.25,PH,05/07/2024
19,isafjordur,66.0755,-23.124,7.02,53,75,3.09,IS,05/07/2024
20,mount pearl,47.5166,-52.7813,8.58,92,100,3.09,CA,05/07/2024
21,edinburgh of the seven seas,-37.0676,-12.3116,15.41,80,68,15.64,SH,05/07/2024
22,maues,-3.3836,-57.7186,26.6,93,100,1.67,BR,05/07/2024
23,saint-philippe,-21.3585,55.7679,24.77,74,77,6.64,RE,05/07/2024
24,haiku-pauwela,20.9219,-156.3051,22.25,79,20,2.24,US,05/07/2024
25,afaahiti,-17.75,-149.2833,23.93,76,88,7.62,PF,05/07/2024
26,hammerfest,70.6634,23.6821,1.25,60,20,3.6,NO,05/07/2024
27,iqaluit,63.7506,-68.5145,-4.15,73,20,9.26,CA,05/07/2024
28,yuktae-dong,40.0247,128.1597,10.05,84,100,0.95,KP,05/07/2024
29,saipan,15.1355,145.701,28.39,69,75,3.09,MP,05/07/2024
30,grytviken,-54.2811,-36.5092,-0.8,77,59,3.56,GS,05/07/2024
31,pangody,65.85,74.4859,-3.4,95,98,6.46,RU,05/07/2024
32,mili,6.0815,171.735,28.01,84,94,9.23,MH,05/07/2024
33,champerico,14.3,-91.9167,29.3,68,40,2.26,GT,05/07/2024
34,chibougamau,49.9168,-74.3659,2.79,81,100,5.66,CA,05/07/2024
35,matoury,4.8483,-52.3317,27.98,89,100,2.57,GF,05/07/2024
36,makokou,0.5738,12.8642,29.5,65,99,2.21,GA,05/07/2024
37,margaret river,-33.95,115.0667,16.85,55,34,5.19,AU,05/07/2024
38,bredasdorp,-34.5322,20.0403,17.72,83,94,5.88,ZA,05/07/2024
39,vadso,70.0744,29.7487,1.49,80,40,5.66,NO,05/07/2024
40,hermanus,-34.4187,19.2345,14.89,92,94,4.86,ZA,05/07/2024
41,georgetown,5.4112,100.3354,30.97,74,40,2.06,MY,05/07/2024
42,hasaki,35.7333,140.8333,20.22,89,100,7.78,JP,05/07/2024
43,novopskov,49.5464,39.0899,21.05,39,11,8.41,UA,05/07/2024
44,susuman,62.7833,148.1667,0.55,75,100,2.24,RU,05/07/2024
45,ribeira brava,32.65,-17.0667,25.95,68,77,4.95,PT,05/07/2024
46,san antonio de pale,-1.4014,5.6325,27.75,79,99,3.95,GQ,05/07/2024
47,caleta de carquin,-11.0925,-77.6267,20.92,82,99,4.54,PE,05/07/2024
48,hirara,24.8,125.2833,24.92,83,75,3.6,JP,05/07/2024
